epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.075,1.27305,4.97348,1.43645,0,0,0,0,0.99952,5.1068,1.27004,4.004e-05,4.004e-05,4.004e-05
2,221.635,1.23424,4.85563,1.42518,0,0,0,0,0.98779,5.03581,1.2303,7.94926e-05,7.94926e-05,7.94926e-05
3,277.455,1.22769,4.79391,1.40578,0,0,0,0,0.97642,4.90867,1.20126,0.000116892,0.000116892,0.000116892
4,352.124,1.14375,4.578,1.33417,0.0536,0.06845,0.05798,0.0424,1.01382,4.65545,1.25616,0.000132382,0.000132382,0.000132382
5,410.976,1.14639,4.46,1.33355,0.04597,0.28869,0.10593,0.0717,1.04369,4.37157,1.30548,0.000128843,0.000128843,0.000128843
6,487.824,1.20989,4.36924,1.36056,0.01884,0.31548,0.08752,0.05724,1.09574,4.34822,1.34243,0.000125304,0.000125304,0.000125304
7,578.218,1.16625,4.28991,1.34709,0.02533,0.3631,0.10537,0.0669,1.05467,4.16373,1.32241,0.000121765,0.000121765,0.000121765
8,665.192,1.14549,4.14253,1.33711,0.0252,0.3631,0.12621,0.08151,1.03911,4.19673,1.33244,0.000118225,0.000118225,0.000118225
9,749.548,1.13336,4.02148,1.34066,0.78756,0.07624,0.17347,0.12515,1.04807,4.11603,1.33997,0.000114686,0.000114686,0.000114686
10,832.355,1.13181,3.9049,1.32687,0.77695,0.09524,0.17074,0.1184,1.04575,4.00071,1.33352,0.000111147,0.000111147,0.000111147
11,919.155,1.14349,3.87098,1.35382,0.86204,0.06399,0.17491,0.12242,1.03617,3.93765,1.31273,0.000107607,0.000107607,0.000107607
12,1002.03,1.13858,3.7412,1.32991,0.73181,0.11458,0.18566,0.12582,1.02425,4.03206,1.29577,0.000104068,0.000104068,0.000104068
13,1084.83,1.14537,3.71648,1.3344,0.73246,0.14137,0.18843,0.13268,1.04722,4.05958,1.30737,0.000100529,0.000100529,0.000100529
14,1168.83,1.13504,3.58647,1.3302,0.74608,0.1369,0.19995,0.15428,1.05237,4.05241,1.3235,9.69898e-05,9.69898e-05,9.69898e-05
15,1249.92,1.11274,3.6119,1.33805,0.67231,0.18601,0.19888,0.15849,1.03943,4.01207,1.32428,9.34505e-05,9.34505e-05,9.34505e-05
16,1332.64,1.10977,3.42403,1.31087,0.76415,0.13542,0.21261,0.16907,1.03523,4.00796,1.32673,8.99113e-05,8.99113e-05,8.99113e-05
17,1418.18,1.1063,3.4889,1.30737,0.80518,0.12874,0.19591,0.15113,1.03689,3.93215,1.31533,8.6372e-05,8.6372e-05,8.6372e-05
18,1536.79,1.08919,3.36936,1.30072,0.72713,0.17553,0.19722,0.14649,1.03595,3.96549,1.30298,8.28327e-05,8.28327e-05,8.28327e-05
19,1686.75,1.11481,3.31849,1.32714,0.69602,0.1493,0.21173,0.15515,1.04784,3.96325,1.30387,7.92935e-05,7.92935e-05,7.92935e-05
20,1826.98,1.10527,3.32644,1.31695,0.63893,0.17152,0.2268,0.16972,1.0334,3.85799,1.28593,7.57543e-05,7.57543e-05,7.57543e-05
21,2028.17,1.0991,3.18612,1.30395,0.74006,0.12387,0.22924,0.17377,1.02833,3.7829,1.28904,7.2215e-05,7.2215e-05,7.2215e-05
