epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.916,1.83345,3.15133,1.8365,0.45154,0.28769,0.23552,0.10521,2.07846,3.24847,2.23877,0.000367485,0.000367485,0.000367485
2,767.587,1.84799,2.68666,1.81584,0.23945,0.38409,0.23273,0.08221,2.33566,3.76155,2.51593,0.000719557,0.000719557,0.000719557
3,1179.51,1.92523,2.59876,1.86668,0.28491,0.28155,0.19892,0.07785,2.17801,2.9962,2.33592,0.0010533,0.0010533,0.0010533
4,1661.39,1.89385,2.55754,1.88149,0.51521,0.22859,0.26834,0.10261,2.13584,2.93449,2.20806,0.00102851,0.00102851,0.00102851
5,2213.76,1.92476,2.45457,1.90829,0.44224,0.28221,0.32754,0.14608,2.03964,2.3986,2.14794,0.00100101,0.00100101,0.00100101
6,2693.36,1.83767,2.31977,1.81684,0.64365,0.25896,0.28844,0.1146,2.1815,2.87676,2.36471,0.000973514,0.000973514,0.000973514
7,3132.11,1.81725,2.25294,1.81647,0.69006,0.33047,0.36543,0.14886,2.07561,2.40084,2.17196,0.000946016,0.000946016,0.000946016
8,3625.6,1.83423,2.18086,1.81276,0.53781,0.41644,0.41367,0.17713,2.0442,2.14045,2.10461,0.000918519,0.000918519,0.000918519
9,16863.9,1.80412,2.08969,1.76837,0.49401,0.4255,0.42867,0.17228,2.15755,2.11159,2.22141,0.000891022,0.000891022,0.000891022
10,17278,1.7831,2.1151,1.78191,0.55236,0.41651,0.42476,0.17502,2.02849,2.01709,2.11621,0.000863525,0.000863525,0.000863525
11,17687.8,1.76412,2.01441,1.75197,0.52627,0.44647,0.44543,0.20499,1.98326,2.07232,2.07052,0.000836027,0.000836027,0.000836027
12,18094.8,1.74732,1.96928,1.75324,0.68261,0.45264,0.49018,0.21518,2.00884,1.80687,2.0497,0.00080853,0.00080853,0.00080853
13,18507.4,1.72047,1.86679,1.70934,0.69858,0.42159,0.44344,0.20965,1.93809,1.86345,2.04248,0.000781033,0.000781033,0.000781033
14,18932.7,1.6879,1.85676,1.705,0.50416,0.47705,0.46589,0.21993,1.93205,1.73106,2.00388,0.000753536,0.000753536,0.000753536
15,19341.2,1.70667,1.84722,1.70025,0.70586,0.44513,0.48245,0.23109,1.97817,1.86816,2.06004,0.000726038,0.000726038,0.000726038
16,19745.6,1.66055,1.7655,1.66323,0.65877,0.4714,0.48068,0.21809,1.97505,1.71232,2.09239,0.000698541,0.000698541,0.000698541
17,20151.1,1.63049,1.71793,1.65493,0.59522,0.47545,0.48743,0.23748,1.95483,1.71995,2.03998,0.000671044,0.000671044,0.000671044
18,20601.1,1.64184,1.69457,1.66023,0.62396,0.49605,0.5024,0.24192,1.89822,1.60069,1.95817,0.000643547,0.000643547,0.000643547
19,21068.1,1.61365,1.71461,1.64199,0.56919,0.50291,0.5121,0.25951,1.84158,1.64896,1.92474,0.000616049,0.000616049,0.000616049
20,21741.2,1.58617,1.61049,1.62584,0.66716,0.46325,0.48091,0.23389,1.9317,1.64057,1.99786,0.000588552,0.000588552,0.000588552
21,22475.5,1.61438,1.62744,1.64497,0.6977,0.50411,0.51762,0.25953,1.89486,1.61521,1.9516,0.000561055,0.000561055,0.000561055
22,22994.1,1.58861,1.5909,1.62146,0.67133,0.50557,0.50639,0.24483,1.9147,1.5621,1.95733,0.000533558,0.000533558,0.000533558
23,23523.3,1.56284,1.5252,1.59425,0.6297,0.55168,0.55828,0.27395,1.89169,1.45756,1.96309,0.00050606,0.00050606,0.00050606
24,24043.1,1.55805,1.49261,1.60304,0.74405,0.49816,0.5557,0.27369,1.90953,1.4728,1.95771,0.000478563,0.000478563,0.000478563
25,24579.7,1.5414,1.517,1.5838,0.70481,0.52937,0.56018,0.2677,1.88655,1.49103,1.93534,0.000451066,0.000451066,0.000451066
26,25129.8,1.56418,1.47134,1.58619,0.73931,0.50886,0.56074,0.28533,1.84602,1.4797,1.88781,0.000423569,0.000423569,0.000423569
27,25698.2,1.50496,1.43496,1.56365,0.71248,0.53484,0.57699,0.29456,1.87944,1.48686,1.94549,0.000396071,0.000396071,0.000396071
28,26247.3,1.51163,1.42945,1.55617,0.57914,0.58762,0.57372,0.27609,1.89486,1.43972,1.96591,0.000368574,0.000368574,0.000368574
29,26756.3,1.49425,1.38348,1.56563,0.6619,0.58167,0.58138,0.29025,1.82768,1.42721,1.88183,0.000341077,0.000341077,0.000341077
30,27275.9,1.46116,1.37412,1.55038,0.73117,0.55256,0.58961,0.3078,1.81201,1.41738,1.89808,0.00031358,0.00031358,0.00031358
31,27830.5,1.44522,1.25037,1.62893,0.65203,0.55362,0.58207,0.29709,1.78562,1.39877,1.8552,0.000286083,0.000286083,0.000286083
32,28354,1.43374,1.16544,1.599,0.76656,0.57161,0.60995,0.31693,1.80863,1.34333,1.86665,0.000258585,0.000258585,0.000258585
33,28893.4,1.4268,1.13134,1.6075,0.66823,0.56497,0.57258,0.28642,1.80844,1.37416,1.89144,0.000231088,0.000231088,0.000231088
34,29378.6,1.40239,1.07935,1.57838,0.71182,0.56393,0.586,0.30565,1.80282,1.31913,1.89294,0.000203591,0.000203591,0.000203591
35,29894.4,1.3528,1.03967,1.55147,0.67077,0.58334,0.59766,0.3157,1.83719,1.38856,1.923,0.000176094,0.000176094,0.000176094
36,30405.3,1.36986,1.05276,1.55981,0.77575,0.57035,0.63285,0.34042,1.7782,1.29641,1.88177,0.000148596,0.000148596,0.000148596
37,107505,1.34447,1.00519,1.53234,0.74711,0.57118,0.60179,0.30585,1.84076,1.3198,1.93693,0.000121099,0.000121099,0.000121099
38,107858,1.31899,0.97253,1.50874,0.72058,0.59953,0.61354,0.33859,1.76684,1.26413,1.8623,9.36017e-05,9.36017e-05,9.36017e-05
39,108097,1.29471,0.94682,1.49093,0.73962,0.59437,0.61635,0.33415,1.78577,1.29687,1.87041,6.61045e-05,6.61045e-05,6.61045e-05
40,108323,1.29115,0.9581,1.50269,0.64431,0.62254,0.61308,0.33055,1.76869,1.27926,1.85723,3.86073e-05,3.86073e-05,3.86073e-05
